step,method,auc_after_20k,frac_ge_0p9_after_20k,std_after_20k,final
550000,FOCUS-High-5,0.916,0.784,0.118,0.95
550000,FOCUS-Low-5,0.881,0.622,0.131,0.85
550000,WSRL,0.895,0.703,0.11,1.0
600000,FOCUS-High-5,0.812,0.676,0.289,1.0
600000,FOCUS-Low-5,0.846,0.541,0.181,0.85
600000,WSRL,0.818,0.432,0.186,0.95
850000,FOCUS-High-5,0.853,0.514,0.12,0.95
850000,FOCUS-Low-5,0.961,0.919,0.047,1.0
850000,WSRL,0.938,0.892,0.043,0.95
900000,FOCUS-High-5,0.954,0.865,0.059,1.0
900000,FOCUS-Low-5,0.9,0.784,0.185,0.95
900000,WSRL,0.926,0.811,0.069,0.95
