ckpt,Ckpt_Success,CV(rho),Method,state,n_evals,AUC_all,AUC_after_20k,AUC_20k_100k,Mean_after_20k,Std_after_20k,Frac_ge_0.9_after_20k,T_stable_ge_0.9_k3,DropCount_below_0.9_after_first_ge_0.9,Final
550k,0.65,0.635,WSRL,finished,40,0.845,0.895,0.829,0.895,0.11,0.703,105000,7,1.0
550k,0.65,0.635,FOCUS-High,finished,40,0.861,0.916,0.868,0.916,0.118,0.784,35000,5,0.95
550k,0.65,0.635,FOCUS-Low,finished,40,0.836,0.881,0.818,0.881,0.131,0.622,55000,7,0.85
600k,0.45,0.05,WSRL,finished,40,0.789,0.818,0.703,0.818,0.186,0.432,115000,8,0.95
600k,0.45,0.05,FOCUS-High,finished,40,0.765,0.812,0.629,0.812,0.289,0.676,85000,4,1.0
600k,0.45,0.05,FOCUS-Low,finished,40,0.785,0.846,0.753,0.846,0.181,0.541,100000,10,0.85
850k,0.65,0.334,WSRL,finished,40,0.911,0.938,0.932,0.938,0.043,0.892,20000,4,0.95
850k,0.65,0.334,FOCUS-High,finished,40,0.799,0.853,0.756,0.853,0.12,0.514,80000,6,0.95
850k,0.65,0.334,FOCUS-Low,finished,40,0.909,0.961,0.938,0.961,0.047,0.919,40000,3,1.0
900k,0.55,0.038,WSRL,finished,40,0.877,0.926,0.906,0.926,0.069,0.811,50000,6,0.95
900k,0.55,0.038,FOCUS-High,finished,40,0.905,0.954,0.929,0.954,0.059,0.865,45000,2,1.0
900k,0.55,0.038,FOCUS-Low,finished,40,0.847,0.9,0.806,0.9,0.185,0.784,75000,3,0.95
